sheet_id,page,slot,slot_name,image_path,char,yomi,style,note
KAI_p001,1,1,right_top,data/images/KAI_p001_01.png,,,,
KAI_p001,1,2,right_middle,data/images/KAI_p001_02.png,,,,
KAI_p001,1,3,right_bottom,data/images/KAI_p001_03.png,,,,
KAI_p001,1,4,left_top,data/images/KAI_p001_04.png,,,,
KAI_p001,1,5,left_middle,data/images/KAI_p001_05.png,,,,
KAI_p002,2,1,right_top,data/images/KAI_p002_01.png,,,,
KAI_p002,2,2,right_middle,data/images/KAI_p002_02.png,,,,
KAI_p002,2,3,right_bottom,data/images/KAI_p002_03.png,,,,
KAI_p002,2,4,left_top,data/images/KAI_p002_04.png,,,,
KAI_p002,2,5,left_middle,data/images/KAI_p002_05.png,,,,
KAI_p003,3,1,right_top,data/images/KAI_p003_01.png,,,,
KAI_p003,3,2,right_middle,data/images/KAI_p003_02.png,,,,
KAI_p003,3,3,right_bottom,data/images/KAI_p003_03.png,,,,
KAI_p003,3,4,left_top,data/images/KAI_p003_04.png,,,,
KAI_p003,3,5,left_middle,data/images/KAI_p003_05.png,,,,
KAI_p004,4,1,right_top,data/images/KAI_p004_01.png,,,,
KAI_p004,4,2,right_middle,data/images/KAI_p004_02.png,,,,
KAI_p004,4,3,right_bottom,data/images/KAI_p004_03.png,,,,
KAI_p004,4,4,left_top,data/images/KAI_p004_04.png,,,,
KAI_p004,4,5,left_middle,data/images/KAI_p004_05.png,,,,
KAI_p005,5,1,right_top,data/images/KAI_p005_01.png,,,,
KAI_p005,5,2,right_middle,data/images/KAI_p005_02.png,,,,
KAI_p005,5,3,right_bottom,data/images/KAI_p005_03.png,,,,
KAI_p005,5,4,left_top,data/images/KAI_p005_04.png,,,,
KAI_p005,5,5,left_middle,data/images/KAI_p005_05.png,,,,
KAI_p006,6,1,right_top,data/images/KAI_p006_01.png,,,,
KAI_p006,6,2,right_middle,data/images/KAI_p006_02.png,,,,
KAI_p006,6,3,right_bottom,data/images/KAI_p006_03.png,,,,
KAI_p006,6,4,left_top,data/images/KAI_p006_04.png,,,,
KAI_p006,6,5,left_middle,data/images/KAI_p006_05.png,,,,
KAI_p007,7,1,right_top,data/images/KAI_p007_01.png,,,,
KAI_p007,7,2,right_middle,data/images/KAI_p007_02.png,,,,
KAI_p007,7,3,right_bottom,data/images/KAI_p007_03.png,,,,
KAI_p007,7,4,left_top,data/images/KAI_p007_04.png,,,,
KAI_p007,7,5,left_middle,data/images/KAI_p007_05.png,,,,
KAI_p008,8,1,right_top,data/images/KAI_p008_01.png,,,,
KAI_p008,8,2,right_middle,data/images/KAI_p008_02.png,,,,
KAI_p008,8,3,right_bottom,data/images/KAI_p008_03.png,,,,
KAI_p008,8,4,left_top,data/images/KAI_p008_04.png,,,,
KAI_p008,8,5,left_middle,data/images/KAI_p008_05.png,,,,
KAI_p009,9,1,right_top,data/images/KAI_p009_01.png,,,,
KAI_p009,9,2,right_middle,data/images/KAI_p009_02.png,,,,
KAI_p009,9,3,right_bottom,data/images/KAI_p009_03.png,,,,
KAI_p009,9,4,left_top,data/images/KAI_p009_04.png,,,,
KAI_p009,9,5,left_middle,data/images/KAI_p009_05.png,,,,
KAI_p010,10,1,right_top,data/images/KAI_p010_01.png,,,,
KAI_p010,10,2,right_middle,data/images/KAI_p010_02.png,,,,
KAI_p010,10,3,right_bottom,data/images/KAI_p010_03.png,,,,
KAI_p010,10,4,left_top,data/images/KAI_p010_04.png,,,,
